Tribunal de Première Instance de Mata-Utu;98600 UVEA;
Tribunal de Première Instance de Nouméa;98848 NOUMEA CEDEX;
Tribunal de Première Instance de Papeete;98713 PAPEETE CEDEX;
Tribunal de Première Instance de Saint-Pierre-et-Miquelon;97500 ST PIERRE ET MIQUELON;
Tribunal judiciaire d'Agen;47916 AGEN CEDEX 9;
Tribunal judiciaire d'Aix-en-Provence;13616 AIX EN PROVENCE CEDEX 1;
Tribunal judiciaire d'Ajaccio;20181 AJACCIO CEDEX 1;
Tribunal judiciaire d'Albertville;73208 ALBERTVILLE CEDEX;
Tribunal judiciaire d'Albi;81005 ALBI CEDEX;
Tribunal judiciaire d'Alençon;61014 ALENCON CEDEX;
Tribunal judiciaire d'Alès;30107 ALES CEDEX;
Tribunal judiciaire d'Amiens;80027 AMIENS CEDEX 1;
Tribunal judiciaire d'Angers;49043 ANGERS CEDEX 01;
Tribunal judiciaire d'Angoulême;16007 ANGOULEME CEDEX;
Tribunal judiciaire d'Annecy;74011 ANNECY CEDEX;
Tribunal judiciaire d'Argentan;61203 ARGENTAN CEDEX;
Tribunal judiciaire d'Arras;62022 ARRAS CEDEX;
Tribunal judiciaire d'Auch;32008 AUCH CEDEX;
Tribunal judiciaire d'Aurillac;15012 AURILLAC CEDEX;
Tribunal judiciaire d'Auxerre;89010 AUXERRE CEDEX;
Tribunal judiciaire d'Avesnes-sur-Helpe;59440 AVESNES SUR HELPE;
Tribunal judiciaire d'Avignon;84078 AVIGNON CEDEX 9;
Tribunal judiciaire d'Epinal;88026 EPINAL CEDEX;
Tribunal judiciaire d'Evreux;27022 EVREUX CEDEX;
Tribunal judiciaire d'Évry-Courcouronnes;91012 EVRY CEDEX;
Tribunal judiciaire d'Orléans;45044 ORLEANS CEDEX 1;
Tribunal judiciaire de Bar-le-Duc;55014 BAR LE DUC CEDEX;
Tribunal judiciaire de Basse-Terre;97100 BASSE TERRE;
Tribunal judiciaire de Bastia;20407 BASTIA CEDEX;
Tribunal judiciaire de Bayonne;64109 BAYONNE CEDEX;
Tribunal judiciaire de Beauvais;60021 BEAUVAIS CEDEX;
Tribunal judiciaire de Belfort;90020 BELFORT CEDEX;
Tribunal judiciaire de Bergerac;24100 BERGERAC;
Tribunal judiciaire de Besançon;25019 BESANCON CEDEX;
Tribunal judiciaire de Béthune;62407 BETHUNE CEDEX;
Tribunal judiciaire de Béziers;34500 BEZIERS;
Tribunal judiciaire de Blois;41018 BLOIS CEDEX;
Tribunal judiciaire de Bobigny;93008 BOBIGNY CEDEX;
Tribunal judiciaire de Bonneville;74136 BONNEVILLE CEDEX;
Tribunal judiciaire de Bordeaux;33077 BORDEAUX CEDEX;
Tribunal judiciaire de Boulogne-sur-Mer;62322 BOULOGNE SUR MER CEDEX;
Tribunal judiciaire de Bourg-en-Bresse;01011 BOURG EN BRESSE CEDEX;
Tribunal judiciaire de Bourges;18023 BOURGES CEDEX;
Tribunal judiciaire de Bourgoin-Jallieu;38307 BOURGOIN JALLIEU CEDEX;
Tribunal judiciaire de Brest;29219 BREST CEDEX 2;
Tribunal judiciaire de Brive-la-Gaillarde;19312 BRIVE LA GAILLARDE CEDEX;
Tribunal judiciaire de Caen;14052 CAEN CEDEX 4;
Tribunal judiciaire de Cahors;46005 CAHORS CEDEX 9;
Tribunal judiciaire de Cambrai;59407 CAMBRAI CEDEX;
Tribunal judiciaire de Carcassonne;11012 CARCASSONNE CEDEX;
Tribunal judiciaire de Carpentras;84208 CARPENTRAS CEDEX;
Tribunal judiciaire de Castres;81108 CASTRES CEDEX;
Tribunal judiciaire de Cayenne;97300 CAYENNE;
Tribunal judiciaire de Chalon-sur-Saône;71100 CHALON SUR SAONE;
Tribunal judiciaire de Châlons-en-Champagne;51036 CHALONS EN CHAMPAGNE CEDEX;
Tribunal judiciaire de Chambéry;73000 CHAMBERY;
Tribunal judiciaire de Charleville-Mézières;08011 CHARLEVILLE MEZIERES CEDEX;
Tribunal judiciaire de Chartres;28019 CHARTRES CEDEX;
Tribunal judiciaire de Châteauroux;36019 CHATEAUROUX CEDEX;
Tribunal judiciaire de Chaumont;52903 CHAUMONT CEDEX 9;
Tribunal judiciaire de Cherbourg-en-Cotentin;50107 CHERBOURG OCTEVILLE CEDEX;
Tribunal judiciaire de Clermont-Ferrand;63033 CLERMONT FERRAND CEDEX 1;
Tribunal judiciaire de Colmar;68027 COLMAR CEDEX;
Tribunal judiciaire de Compiègne;60321 COMPIEGNE CEDEX;
Tribunal judiciaire de Coutances;50207 COUTANCES CEDEX;
Tribunal judiciaire de Créteil;94011 CRETEIL CEDEX;
Tribunal judiciaire de Cusset;03306 CUSSET CEDEX;
Tribunal judiciaire de Dax;40107 DAX CEDEX;
Tribunal judiciaire de Dieppe;76204 DIEPPE CEDEX;
Tribunal judiciaire de Digne-les-Bains;04000 DIGNE LES BAINS;
Tribunal judiciaire de Dijon;21033 DIJON CEDEX;
Tribunal judiciaire de Douai;59500 DOUAI;
Tribunal judiciaire de Draguignan;83007 DRAGUIGNAN CEDEX;
Tribunal judiciaire de Dunkerque;59385 DUNKERQUE CEDEX 1;
Tribunal judiciaire de Foix;09008 FOIX CEDEX;
Tribunal judiciaire de Fontainebleau;77305 FONTAINEBLEAU CEDEX;
Tribunal judiciaire de Fort-de-France;97200 FORT DE FRANCE;
Tribunal judiciaire de Gap;05007 GAP CEDEX;
Tribunal judiciaire de Grasse;06133 GRASSE CEDEX;
Tribunal judiciaire de Grenoble;38019 GRENOBLE CEDEX 1;
Tribunal judiciaire de Guéret;23011 GUERET CEDEX;
Tribunal judiciaire de La Roche-sur-Yon;85021 LA ROCHE SUR YON CEDEX;
Tribunal judiciaire de La Rochelle;17028 LA ROCHELLE CEDEX 1;
Tribunal judiciaire de Laon;02001 LAON CEDEX;
Tribunal judiciaire de Laval;53015 LAVAL CEDEX;
Tribunal judiciaire de Libourne;33509 LIBOURNE CEDEX;
Tribunal judiciaire de Lille;59034 LILLE CEDEX;
Tribunal judiciaire de Limoges;87000 LIMOGES;
Tribunal judiciaire de Lisieux;14107 LISIEUX CEDEX;
Tribunal judiciaire de Lons-le-Saunier;39000 LONS LE SAUNIER;
